review_priority,action_today,customer_market,go_no_go_score,recommendation,pursuit_type,drop_reason,risk_flags,title,department,sub_tier,office,full_parent_path_name,posted_date,response_deadline,days_until_deadline,clean_naics,naics_code,classification_code,notice_type,base_type,search_name,search_keyword,search_naics,search_ptype,query_hits,ui_link,score_rationale,description,source,notice_id,solicitation_number,archive_type,active,first_seen,last_seen,days_until_deadline_sort,review_priority_sort
5 - Drop,No action,USACE / Federal Infrastructure,14,No-Go,Active Solicitation,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Scope may not be A/E or engineering services,Sebewaing North Bank Maintenance,,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST DETROIT.W072 ENDIST DETROIT,2026-05-19,2026-06-02T14:00:00-04:00,11.0,237990,237990,Z1KA,Sources Sought,Sources Sought,Manual - architect engineer,architect engineer,541330,o,Manual - architect engineer,https://sam.gov/workspace/contract/opp/6e7ccd10cce9499f88d395a7fc6f5da0/view,Secondary/adjacent NAICS 237990: Other Heavy and Civil Engineering Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Active solicitation | Workable deadline: 11 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=6e7ccd10cce9499f88d395a7fc6f5da0,SAM.gov,6e7ccd10cce9499f88d395a7fc6f5da0,PANGLR26P0000030952,auto15,Yes,2026-05-19,2026-05-22,11.0,5
5 - Drop,No action,USACE / Federal Infrastructure,14,No-Go,Active Solicitation,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Scope may not be A/E or engineering services,"Deer Island Ecosystem Restoration, Phase 1 Deer Island, MS (Harrison County)",,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH ATLANTIC.ENDIST MOBILE.W074 ENDIST MOBILE,2026-05-22,2026-07-07T14:00:00-05:00,46.0,237990,237990,Y1PZ,Solicitation,Presolicitation,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,DOE Environmental Consulting - Solicitation,https://sam.gov/workspace/contract/opp/dfb0cbbf7283407c88087025c197ac82/view,Secondary/adjacent NAICS 237990: Other Heavy and Civil Engineering Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Active solicitation | Workable deadline: 46 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=dfb0cbbf7283407c88087025c197ac82,SAM.gov,dfb0cbbf7283407c88087025c197ac82,W9127826RA046,auto15,Yes,2026-05-22,2026-05-22,46.0,5
5 - Drop,No action,DOE / NNSA,13,No-Go,Early Capture / Sources Sought,Non-target NAICS: 54171,NAICS does not clearly match A/E services | Scope may not be A/E or engineering services,Heat Exchanger Inspection Tool,,,,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.FLUOR MARINE PROPULSION - DOE CONTRACTOR",2026-05-19,2026-06-23T17:00:00-04:00,32.0,54171,54171,AG12,Sources Sought,Sources Sought,DOE A-E - Sources Sought,architect engineer,541330,r,DOE A-E - Sources Sought | DOE A-E - Sources Sought | DOE Engineering Services - Sources Sought | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - architect engineer | Manual - architect engineer | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - Oak Ridge | Manual - Oak Ridge | Manual - Savannah River | Manual - Savannah River,https://sam.gov/workspace/contract/opp/bd4b1bf8b1da455a9faa6b415488b26d/view,Non-target NAICS: 54171 | No strong A/E-engineering language detected | Customer market classified as DOE / NNSA | Discipline/capability fit: energy | Sources sought/RFI is useful for shaping | Workable deadline: 32 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bd4b1bf8b1da455a9faa6b415488b26d,SAM.gov,bd4b1bf8b1da455a9faa6b415488b26d,NNL-FMP-0046,autocustom,Yes,2026-05-19,2026-05-22,32.0,5
5 - Drop,No action,USACE / Federal Infrastructure,12,No-Go,Early Capture / Sources Sought,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Scope may not be A/E or engineering services,"North East River Maintenance Dredging, Cecil County, MD",,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST BALTIMORE.W2SD ENDIST BALTIMORE,2026-05-19,2026-05-26T11:00:00-04:00,4.0,237990,237990,Z1KF,Sources Sought,Sources Sought,DOE A-E - Sources Sought,architect engineer,541330,r,DOE A-E - Sources Sought | DOE A-E - Sources Sought | DOE Engineering Services - Sources Sought | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - architect engineer | Manual - architect engineer | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - Oak Ridge | Manual - Oak Ridge | Manual - Savannah River | Manual - Savannah River,https://sam.gov/workspace/contract/opp/8e1d28c0ea2e49f5a3e41e401430555f/view,Secondary/adjacent NAICS 237990: Other Heavy and Civil Engineering Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Sources sought/RFI is useful for shaping | Near-term deadline: 4 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8e1d28c0ea2e49f5a3e41e401430555f,SAM.gov,8e1d28c0ea2e49f5a3e41e401430555f,W912DR26BA007,autocustom,Yes,2026-05-19,2026-05-22,4.0,5
5 - Drop,No action,Other Federal,11,No-Go,Early Capture / Sources Sought,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Scope may not be A/E or engineering services,INDUSTRY DAY NOTICE for New York Terminal Radar Approach Control Facility (N90),,,,"TRANSPORTATION, DEPARTMENT OF.FEDERAL AVIATION ADMINISTRATION.697DCK REGIONAL ACQUISITIONS SVCS",2026-05-22,2026-06-01T17:00:00-04:00,10.0,236220,236220,Y1BA,Sources Sought,Sources Sought,Hanford Engineering Services,Hanford,541330,r,DOE Environmental Consulting - Sources Sought | Hanford Engineering Services | NNSA A-E - Sources Sought | NNSA Engineering Services - Sources Sought | Oak Ridge Engineering Services | Savannah River Engineering Services | Y-12 Engineering Services,https://sam.gov/workspace/contract/opp/2d66b70ab28648b1b3b91b87d09a8068/view,Secondary/adjacent NAICS 236220: Commercial and Institutional Building Construction | No strong A/E-engineering language detected | Non-DOE market classification: Other Federal | Early capture indicator: industry day | Sources sought/RFI is useful for shaping | Near-term deadline: 10 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=2d66b70ab28648b1b3b91b87d09a8068,SAM.gov,2d66b70ab28648b1b3b91b87d09a8068,697DCK-26-R-N9001,auto15,Yes,2026-05-22,2026-05-22,10.0,5
5 - Drop,No action,DoD / Defense Infrastructure,10,No-Go,Early Capture / Sources Sought,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Scope may not be A/E or engineering services,Precision Radiating Optimum Power High Emitting Transmitter (PROPHET),,,,DEPT OF DEFENSE.DEPT OF THE NAVY.ONR.ONR NRL.NAVAL RESEARCH LABORATORY,2026-05-22,2026-06-12T17:00:00-04:00,21.0,541715,541715,AC12,Sources Sought,Sources Sought,Hanford Engineering Services,Hanford,541330,r,Hanford Engineering Services | Oak Ridge Engineering Services | Savannah River Engineering Services | Y-12 Engineering Services,https://sam.gov/workspace/contract/opp/5c9ae2bf3a554b8fb81a356c9346f318/view,Secondary/adjacent NAICS 541715: R&D in Nanotechnology / Engineering / Life Sciences | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Discipline/capability fit: power | Sources sought/RFI is useful for shaping | Workable deadline: 21 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=5c9ae2bf3a554b8fb81a356c9346f318,SAM.gov,5c9ae2bf3a554b8fb81a356c9346f318,N00173-26-RFI-RW01,auto15,Yes,2026-05-22,2026-05-22,21.0,5
5 - Drop,Check for design component,USACE / Federal Infrastructure,10,No-Go,Active Solicitation,Likely construction-only: repair,Adjacent NAICS; verify engineering scope | May be construction-only rather than A/E services | Scope may not be A/E or engineering services,FTW480 FIRE PROTECTION REPAIRS,,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION PACIFIC OCEAN.ENDIST ALASKA.W2SN ENDIST ALASKA,2026-05-19,2026-06-23T14:00:00-09:00,32.0,236220,236220,Y1EZ,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/f953490c298047c4a4abf459703201ed/view,Secondary/adjacent NAICS 236220: Commercial and Institutional Building Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Discipline/capability fit: fire protection | Active solicitation | Construction-only risk terms: repair | Workable deadline: 32 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f953490c298047c4a4abf459703201ed,SAM.gov,f953490c298047c4a4abf459703201ed,W911KB26RA038,autocustom,Yes,2026-05-19,2026-05-22,32.0,5
5 - Drop,Check for design component,USACE / Federal Infrastructure,9,No-Go,Early Capture / Sources Sought,Likely construction-only: repair,Adjacent NAICS; verify engineering scope | May be construction-only rather than A/E services | Scope may not be A/E or engineering services,Noyo Maintenance Dredging and Jetty Repair Project,,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.ENDIST SAN FRANCISCO.W075 ENDIST SAN FRAN,2026-05-19,2026-06-02T12:00:00-07:00,11.0,237990,237990,Z1KF,Sources Sought,Sources Sought,DOE A-E - Sources Sought,architect engineer,541330,r,DOE A-E - Sources Sought | DOE A-E - Sources Sought | DOE Engineering Services - Sources Sought | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - NNSA | Manual - NNSA | Manual - NNSA | Manual - NNSA | Manual - NNSA | Manual - NNSA | Manual - Oak Ridge | Manual - Oak Ridge | Manual - Savannah River | Manual - Savannah River,https://sam.gov/workspace/contract/opp/7813befa102c4d208640cc4553db010d/view,Secondary/adjacent NAICS 237990: Other Heavy and Civil Engineering Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Sources sought/RFI is useful for shaping | Construction-only risk terms: repair | Workable deadline: 11 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=7813befa102c4d208640cc4553db010d,SAM.gov,7813befa102c4d208640cc4553db010d,W912P726S0012,auto15,Yes,2026-05-19,2026-05-22,11.0,5
5 - Drop,Check for design component,USACE / Federal Infrastructure,9,No-Go,Early Capture / Sources Sought,Likely construction-only: repair,Adjacent NAICS; verify engineering scope | May be construction-only rather than A/E services | Scope may not be A/E or engineering services,"522302,POL,EMG,Repair Robins AFB - Repair POL Operations and Fuel Facilities Building 194",,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST OMAHA.W071 ENDIST OMAHA,2026-05-21,2026-06-04T14:00:00-05:00,13.0,236220,236220,Y1GC,Sources Sought,Sources Sought,NNSA A-E - Sources Sought,architect engineer,541330,r,NNSA A-E - Sources Sought | NNSA Engineering Services - Sources Sought,https://sam.gov/workspace/contract/opp/cef69963a38f4060b5422e900ee63da3/view,Secondary/adjacent NAICS 236220: Commercial and Institutional Building Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Sources sought/RFI is useful for shaping | Construction-only risk terms: repair | Workable deadline: 13 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=cef69963a38f4060b5422e900ee63da3,SAM.gov,cef69963a38f4060b5422e900ee63da3,PANNWD26P029893,autocustom,Yes,2026-05-22,2026-05-22,13.0,5
5 - Drop,Check for design component,USACE / Federal Infrastructure,6,No-Go,Active Solicitation,Likely construction-only: repair,Adjacent NAICS; verify engineering scope | May be construction-only rather than A/E services | Scope may not be A/E or engineering services,"Levee Repairs at Saline County Levee District #2, Ray-Carroll Bottoms Consolidated Levee District of Carroll County, and Howard County Levee District #4",,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST KANSAS CITY.W071 ENDIST KANSAS CITY,2026-05-22,2026-06-02T13:00:00-05:00,11.0,237990,237990,Y1PC,Solicitation,Solicitation,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/bf0f71b908f647bbaa292a6a6c7bf6e0/view,Secondary/adjacent NAICS 237990: Other Heavy and Civil Engineering Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Active solicitation | Construction-only risk terms: repair | Workable deadline: 11 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bf0f71b908f647bbaa292a6a6c7bf6e0,SAM.gov,bf0f71b908f647bbaa292a6a6c7bf6e0,W912DQ26BA005,autocustom,Yes,2026-05-22,2026-05-22,11.0,5
